phase_count;min;max;mean;q25;q50;q75
6734;0.0014884999982314184;0.0025368999922648072;0.001748951998888515;0.0016841000033309683;0.0017063999985111877;0.0017439999937778339
7564;0.001651700004003942;0.0021708999993279576;0.0019458720006514342;0.0019011000113096088;0.0019567999988794327;0.0019974000024376437
8497;0.001865800004452467;0.0022520000056829304;0.002128364000818692;0.002105100007611327;0.00213130000338424;0.002161800002795644
9545;0.00218170000880491;0.0028363000019453466;0.002413340000784956;0.0023711000103503466;0.0024163999914890155;0.0024295000039273873
10722;0.0025253000058000907;0.0032441000075777993;0.002804323999444023;0.0025978999910876155;0.0027550000086193904;0.0029524999990826473
12045;0.002762600008281879;0.0035608000034699216;0.0029005640005925672;0.0027897000109078363;0.00287880000541918;0.002895500001613982
13530;0.0031011999963084236;0.0037738999963039532;0.0032368999993195756;0.0031334000086644664;0.003148699994198978;0.003175799996824935
15199;0.00350030000845436;0.00455810000130441;0.0037185679998947307;0.0036143999896012247;0.0036485000018728897;0.0037765000015497208
17073;0.003931200000806712;0.004734699992695823;0.004199500000686385;0.003988199998275377;0.004192199994577095;0.004311000011512078
19179;0.004728600004455075;0.00515599999926053;0.004897224002634175;0.0048462999984622;0.004882100009126589;0.004942300001857802
21544;0.005171799988602288;0.0063563000003341585;0.005475999999907799;0.005316299997502938;0.005376999994041398;0.00557160000607837
24201;0.005910699997912161;0.007997699998668395;0.006249140002182685;0.006041400003596209;0.0060855999909108505;0.0062646000005770475
27185;0.006650599985732697;0.007221299994853325;0.006800543997669593;0.006713299997500144;0.00675379998574499;0.006797900001402013
30538;0.0075813000003108755;0.008788399994955398;0.007846616000169887;0.007649000006495044;0.007732400001259521;0.00794149999273941
34304;0.007791899988660589;0.009369300008984283;0.008011659997282549;0.007883500002208166;0.007916299990029074;0.007962699994095601
38535;0.008872199992765673;0.010202499994193204;0.009144591999938712;0.008963099986431189;0.009038799995323643;0.00916670000879094
43287;0.009888400003546849;0.011599600009503774;0.01050120799918659;0.01020750000316184;0.010496400005649775;0.010775899994769134
48626;0.011164099996676669;0.012245999998413026;0.01146845999872312;0.011358799994923174;0.011420399998314679;0.011587999993935227
54622;0.012476999996579252;0.013498599990271032;0.012843804000294768;0.012581300004967488;0.012742100007017143;0.01309370000672061
61359;0.014110800009802915;0.017326800007140264;0.014675664001260883;0.014300700000603683;0.01442720000341069;0.014865500008454546
68926;0.016663899994455278;0.023068599999533035;0.017440596002270468;0.016821800003526732;0.01713469999958761;0.017324100001133047
77426;0.018430600001011044;0.021300399996107444;0.01896763199940324;0.018674999999348074;0.01883810000435915;0.018978199994307943
86974;0.021004299997002818;0.022137699997983873;0.02137808000028599;0.021164599995245226;0.021269299992127344;0.02157969999825582
97700;0.02357540000230074;0.02597970000351779;0.024068160001188516;0.023712199996225536;0.023929200004204176;0.0242566000088118
109749;0.02784589999646414;0.03294419999292586;0.028732191999442876;0.028229299990925938;0.02834999999322463;0.028836900004534982
123284;0.03141559999494348;0.033684800000628456;0.03233190400002059;0.03169309999793768;0.032560299994656816;0.03279169999586884
138488;0.03616390000388492;0.043179999993299134;0.03728199200006202;0.036541500012390316;0.0366580999980215;0.03698259999509901
155567;0.0399671000050148;0.04482819999975618;0.04115716400032397;0.04077479999978095;0.04089400000520982;0.041255100004491396
174752;0.0450940000009723;0.06379300000844523;0.047079480001120826;0.04581359999428969;0.04600790000404231;0.04641789999732282
196304;0.05085220000182744;0.059907999995630234;0.05216731999942567;0.051258499996038154;0.05160809999506455;0.05185410000558477
220513;0.059647900008712895;0.06721059999836143;0.061659279999439605;0.06102870000177063;0.061516799993114546;0.06206179999571759
247707;0.06421700000646524;0.07611019999603741;0.06674392400076613;0.06473269998969045;0.06526200000371318;0.0661307999980636
278255;0.07252609998977277;0.09023220000381116;0.07820753999985755;0.07319200001074933;0.07628609999665059;0.0828305999893928
312571;0.08196150000730995;0.11604520000400953;0.0914990439999383;0.08257009999942966;0.0921682000043802;0.09391609999875072
351119;0.08706530000199564;0.10619640001095831;0.09162534799892455;0.0879852999933064;0.09194600000046194;0.09295109999948181
394420;0.09808419999899343;0.11794209999789018;0.10714850399934221;0.0991234999964945;0.11249970000062604;0.11448050000763033
443062;0.10990930000843946;0.16531809998559766;0.11712120799988042;0.1116632000048412;0.11585509999713395;0.11695290000352543
497702;0.12382939999224618;0.14295740000670776;0.12955482800025492;0.1252175000117859;0.13070150000567082;0.13253019998956006
559081;0.14325069999904372;0.19160779999219812;0.16047208399919327;0.14969259999634232;0.16232089999539312;0.16389589999744203
628029;0.16325869999127463;0.19695949999731965;0.16952547599852552;0.16650889998709317;0.16786220000358298;0.16922899999190122
705480;0.18520049999642652;0.23041450000891928;0.193068448001286;0.18664960000023711;0.1878844000020763;0.18968039999890607
792482;0.20799329999135807;0.2666358999995282;0.22494635200011545;0.21412940000300296;0.2290699000004679;0.23200820000784006
890215;0.23691589999361895;0.30262869999569375;0.2610946079989662;0.25076589999662247;0.26041950000217184;0.2687134000007063
1000000;0.28257480000320356;0.4591026999987662;0.3684116119996179;0.29735949999303557;0.3210049000044819;0.43931780000275467
